Losing Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Tottenham,3,3,7,3,0,4,16,3,3,0
Ipswich,1,1,11,6,1,10,8,0,0,0
Newcastle,0,0,7,3,0,7,14,3,1,0
Bolton,0,0,9,3,0,7,10,2,2,1
Southampton,0,0,3,0,0,1,15,2,2,1
Sunderland,1,0,15,7,1,3,12,1,0,0
Leicester,1,0,8,3,0,6,11,1,1,0
Man United,1,1,13,6,0,8,11,4,0,0
Newcastle,0,0,8,3,0,7,16,6,2,0
Charlton,0,0,14,4,0,13,12,2,0,0
Everton,1,0,18,8,0,13,8,3,1,0
Ipswich,2,0,12,8,0,8,16,1,2,0
Southampton,1,1,16,6,1,10,19,3,1,0
West Ham,0,0,12,6,1,10,13,3,1,0
Arsenal,2,1,26,12,2,4,9,2,3,0
Ipswich,1,1,8,4,2,12,8,2,0,0
West Ham,0,0,10,6,0,4,18,1,2,0
Aston Villa,0,0,11,7,0,7,8,0,0,1
Blackburn,0,0,14,4,1,7,8,5,1,0
Derby,0,0,12,4,0,5,9,5,1,0
Ipswich,0,0,7,2,0,12,4,0,0,0
Man United,0,0,12,5,0,7,9,5,2,0
Chelsea,0,0,20,5,0,8,13,1,1,0
Leicester,0,0,8,4,0,5,13,3,1,0
Man United,0,0,17,6,0,12,18,0,5,0
Blackburn,1,0,14,6,2,8,15,2,1,0
Ipswich,0,0,9,5,0,8,3,1,3,0
Middlesbrough,0,0,6,3,0,5,11,1,2,0
Arsenal,1,1,19,8,0,4,10,6,3,1
Charlton,0,0,10,2,0,4,16,4,2,0
Leeds,3,1,15,6,0,2,19,0,2,0
Tottenham,1,1,12,6,1,9,22,4,1,1
Liverpool,1,0,15,2,1,6,12,2,1,0
Aston Villa,1,1,10,5,1,7,10,6,1,0
Blackburn,0,0,7,3,0,3,24,3,1,1
Bolton,0,0,17,2,0,11,15,1,1,0
Everton,0,0,10,5,0,4,11,1,0,0
Blackburn,0,0,16,5,0,13,13,5,2,0
Everton,0,0,7,3,0,3,16,0,1,0
Newcastle,1,1,10,7,0,5,11,6,0,0
